description,industry,level,size,line_code,value
Operación A,Manufactura,1,Grande,ABC123,1000
Operación B,Tecnología,2,Mediana,DEF456,2000
Operación C,Retail,3,Pequeña,GHI789,1500
Operación D,Salud,1,Grande,JKL012,3000
Operación E,Manufactura,2,Mediana,MNO345,2500
Operación F,Tecnología,3,Pequeña,PQR678,1800
Operación G,Retail,1,Grande,STU901,3200
Operación H,Salud,2,Mediana,VWX234,2700
Operación I,Manufactura,3,Pequeña,YZA567,1900
Operación J,Tecnología,1,Grande,BCD890,4000
Operación K,Retail,2,Mediana,EFG123,2200
Operación L,Salud,3,Pequeña,HIJ456,1700
Operación M,Manufactura,1,Grande,KLM789,3500
Operación N,Tecnología,2,Mediana,NOP012,2600
Operación O,Retail,3,Pequeña,QRS345,2100
Operación P,Salud,1,Grande,TUV678,3800
Operación Q,Manufactura,2,Mediana,WXY901,2400
Operación R,Tecnología,3,Pequeña,ZAB234,1600
Operación S,Retail,1,Grande,CDE567,4100
Operación T,Salud,2,Mediana,FGH890,2900
Operación U,Manufactura,3,Pequeña,IJK123,2000
Operación V,Tecnología,1,Grande,LMN456,3300
Operación W,Retail,2,Mediana,OPQ789,2300
Operación X,Salud,3,Pequeña,RST012,1400
Operación Y,Manufactura,1,Grande,UVW345,3700
Operación Z,Tecnología,2,Mediana,XYZ678,2800
Operación AA,Retail,3,Pequeña,ABC901,1950
Operación AB,Salud,1,Grande,DEF234,4200
Operación AC,Manufactura,2,Mediana,GHI567,2550
Operación AD,Tecnología,3,Pequeña,JKL890,1750
Operación AE,Retail,1,Grande,MNO123,3900
Operación AF,Salud,2,Mediana,PQR456,2650
Operación AG,Manufactura,3,Pequeña,STU789,2050
Operación AH,Tecnología,1,Grande,VWX012,3400
Operación AI,Retail,2,Mediana,YZA345,2250
Operación AJ,Salud,3,Pequeña,BCD678,1550
Operación AK,Manufactura,1,Grande,EFG901,3600
Operación AL,Tecnología,2,Mediana,HIJ234,2750
Operación AM,Retail,3,Pequeña,KLM567,1850
Operación AN,Salud,1,Grande,NOP890,4300
Operación AO,Manufactura,2,Mediana,QRS123,2450
Operación AP,Tecnología,3,Pequeña,TUV456,1650
Operación AQ,Retail,1,Grande,WXY789,4000
Operación AR,Salud,2,Mediana,ZAB012,2850
Operación AS,Manufactura,3,Pequeña,CDE345,2150
Operación AT,Tecnología,1,Grande,FGH678,3500
Operación AU,Retail,2,Mediana,IJK901,2350
Operación AV,Salud,3,Pequeña,LMN234,1450
Operación AW,Manufactura,1,Grande,OPQ567,3800
Operación AX,Tecnología,2,Mediana,RST890,2950
Operación AY,Retail,3,Pequeña,UVW123,1950
Operación AZ,Salud,1,Grande,XYZ456,4400
Operación BA,Manufactura,2,Mediana,ABC789,2550
Operación BB,Tecnología,3,Pequeña,DEF012,1750
Operación BC,Retail,1,Grande,GHI345,4100
Operación BD,Salud,2,Mediana,JKL678,2650
Operación BE,Manufactura,3,Pequeña,MNO901,2050
Operación BF,Tecnología,1,Grande,PQR234,3600
Operación BG,Retail,2,Mediana,STU567,2250
Operación BH,Salud,3,Pequeña,VWX890,1550
Operación BI,Manufactura,1,Grande,YZA123,3900
Operación BJ,Tecnología,2,Mediana,BCD456,2750
Operación BK,Retail,3,Pequeña,EFG789,1850
Operación BL,Salud,1,Grande,HIJ012,4500
Operación BM,Manufactura,2,Mediana,KLM345,2450
Operación BN,Tecnología,3,Pequeña,NOP678,1650
Operación BO,Retail,1,Grande,QRS901,4200
Operación BP,Salud,2,Mediana,TUV234,2850
Operación BQ,Manufactura,3,Pequeña,WXY567,2150
Operación BR,Tecnología,1,Grande,ZAB890,3700
Operación BS,Retail,2,Mediana,CDE123,2350
Operación BT,Salud,3,Pequeña,FGH456,1450
Operación BU,Manufactura,1,Grande,IJK789,4000
Operación BV,Tecnología,2,Mediana,LMN012,2950
Operación BW,Retail,3,Pequeña,OPQ345,1950
Operación BX,Salud,1,Grande,RST678,4600
Operación BY,Manufactura,2,Mediana,UVW901,2550
Operación BZ,Tecnología,3,Pequeña,XYZ234,1750
Operación CA,Retail,1,Grande,ABC567,4300
Operación CB,Salud,2,Mediana,DEF890,2650
Operación CC,Manufactura,3,Pequeña,GHI123,2050
Operación CD,Tecnología,1,Grande,JKL456,3800
Operación CE,Retail,2,Mediana,MNO789,2250
Operación CF,Salud,3,Pequeña,PQR012,1550
Operación CG,Manufactura,1,Grande,STU345,4100
Operación CH,Tecnología,2,Mediana,VWX678,2750
Operación CI,Retail,3,Pequeña,YZA901,1850
Operación CJ,Salud,1,Grande,BCD234,4700
Operación CK,Manufactura,2,Mediana,EFG567,2450
Operación CL,Tecnología,3,Pequeña,HIJ890,1650
Operación CM,Retail,1,Grande,KLM123,4400
Operación CN,Salud,2,Mediana,NOP456,2850
Operación CO,Manufactura,3,Pequeña,QRS789,2150
Operación CP,Tecnología,1,Grande,TUV012,3900
Operación CQ,Retail,2,Mediana,WXY345,2350
Operación CR,Salud,3,Pequeña,ZAB678,1450
Operación CS,Manufactura,1,Grande,CDE901,4200
Operación CT,Tecnología,2,Mediana,FGH234,2950
Operación CU,Retail,3,Pequeña,IJK567,1950
Operación CV,Salud,1,Grande,LMN890,4800
Operación CW,Manufactura,2,Mediana,OPQ123,2550
Operación CX,Tecnología,3,Pequeña,RST456,1750
Operación CY,Retail,1,Grande,UVW789,4500
Operación CZ,Salud,2,Mediana,XYZ012,2650
Operación DA,Manufactura,3,Pequeña,ABC345,2050
Operación DB,Tecnología,1,Grande,DEF678,4000
Operación DC,Retail,2,Mediana,GHI901,2250
Operación DD,Salud,3,Pequeña,JKL234,1550
Operación DE,Manufactura,1,Grande,MNO567,4300
Operación DF,Tecnología,2,Mediana,PQR890,2750
Operación DG,Retail,3,Pequeña,STU123,1850
Operación DH,Salud,1,Grande,VWX456,4900
Operación DI,Manufactura,2,Mediana,YZA789,2450
Operación DJ,Tecnología,3,Pequeña,BCD012,1650
Operación DK,Retail,1,Grande,EFG345,4600
Operación DL,Salud,2,Mediana,HIJ678,2850
Operación DM,Manufactura,3,Pequeña,KLM901,2150
Operación DN,Tecnología,1,Grande,NOP234,4100
Operación DO,Retail,2,Mediana,QRS567,2350
Operación DP,Salud,3,Pequeña,TUV890,1450
Operación DQ,Manufactura,1,Grande,WXY123,4400
Operación DR,Tecnología,2,Mediana,ZAB456,2950
Operación DS,Retail,3,Pequeña,CDE789,1950
Operación DT,Salud,1,Grande,FGH012,5000
Operación DU,Manufactura,2,Mediana,IJK345,2550
Operación DV,Tecnología,3,Pequeña,LMN678,1750
Operación DW,Retail,1,Grande,OPQ901,4700
Operación DX,Salud,2,Mediana,RST234,2650
Operación DY,Manufactura,3,Pequeña,UVW567,2050
Operación DZ,Tecnología,1,Grande,XYZ890,4200